name,num_channels,descriptors,total_bytes,rd_delay_cyc,wr_delay_cyc,cycles,seconds,throughput_MBps,r2r_cycles,r2r_MBps,w2w_cycles,w2w_MBps,pass,timeout
1desc_1ch_512KB,1,1,524288,0,0,34837,0.00034837000000000003,1435.2556190257483,34814,1436.2038260469924,34814,1436.2038260469924,True,False
1desc_1ch_512KB,1,1,524288,32,32,34868,0.00034868000000000003,1433.979580130779,34814,1436.2038260469924,34814,1436.2038260469924,True,False
1desc_1ch_512KB,1,1,524288,64,64,34900,0.000349,1432.6647564469913,34814,1436.2038260469924,34814,1436.2038260469924,True,False
1desc_1ch_512KB,1,1,524288,96,96,34932,0.00034932,1431.3523416924309,34814,1436.2038260469924,34814,1436.2038260469924,True,False
1desc_1ch_512KB,1,1,524288,128,128,39299,0.00039299,1272.2970050128501,38998,1282.1170316426483,39149,1277.171830698102,True,False
1desc_1ch_512KB,1,1,524288,160,160,47491,0.00047491000000000005,1052.8310627276746,47126,1060.985443279718,47309,1056.881354499144,True,False
1desc_1ch_512KB,1,1,524288,192,192,55683,0.00055683,897.9401253524414,55254,904.9118615846817,55469,901.4043880365609,True,False
1desc_1ch_512KB,1,1,524288,256,256,72067,0.0007206700000000001,693.7988260923862,71510,699.2029086841001,71789,696.4855339954589,True,False
1desc_1ch_512KB,1,1,524288,384,384,104835,0.00104835,476.9399532598846,104022,480.66755109496063,104429,478.7942046749466,True,False
1desc_1ch_512KB,1,1,524288,512,512,137603,0.00137603,363.36417083929854,136534,366.20914936938783,137069,364.77978244533773,True,False
2desc_1ch_512KB,1,2,1048576,0,0,69673,0.00069673,1435.276218908329,69650,1435.7501794687723,69650,1435.7501794687723,True,False
2desc_1ch_512KB,1,2,1048576,32,32,69766,0.00069766,1433.3629561677608,69712,1434.473261418407,69712,1434.473261418407,True,False
2desc_1ch_512KB,1,2,1048576,64,64,69862,0.0006986200000000001,1431.3933182559902,69776,1433.1575326759917,69776,1433.1575326759917,True,False
2desc_1ch_512KB,1,2,1048576,96,96,69958,0.00069958,1429.4290860230424,69840,1431.84421534937,69840,1431.84421534937,True,False
2desc_1ch_512KB,1,2,1048576,128,128,78724,0.00078724,1270.2606574869162,78423,1275.1361207808934,78574,1272.6856211978516,True,False
2desc_1ch_512KB,1,2,1048576,160,160,95140,0.0009514,1051.0826150935463,94775,1055.1305724083354,94958,1053.0971587438655,True,False
2desc_1ch_512KB,1,2,1048576,192,192,111556,0.00111556,896.4107712718276,111127,899.8713184014684,111342,898.1336782166657,True,False
2desc_1ch_512KB,1,2,1048576,256,256,144388,0.00144388,692.5783306091919,143831,695.2604097864854,144110,693.9143709666226,True,False
2desc_1ch_512KB,1,2,1048576,384,384,210052,0.0021005200000000003,476.0725915487593,209239,477.9223758477148,209646,476.9945527222079,True,False
2desc_1ch_512KB,1,2,1048576,512,512,275716,0.0027571600000000003,362.69204543805944,274647,364.1037404377255,275182,363.3958616479275,True,False
4desc_1ch_512KB,1,4,2097152,0,0,139345,0.00139345,1435.2865190713696,139322,1435.5234636310129,139322,1435.5234636310129,True,False
4desc_1ch_512KB,1,4,2097152,32,32,139562,0.0013956200000000002,1433.0548430088418,139508,1433.609542105112,139508,1433.609542105112,True,False
4desc_1ch_512KB,1,4,2097152,64,64,139786,0.0013978600000000001,1430.7584450517218,139700,1431.6392269148175,139700,1431.6392269148175,True,False
4desc_1ch_512KB,1,4,2097152,96,96,140010,0.0014001,1428.469395043211,139892,1429.6743201898607,139892,1429.6743201898607,True,False
4desc_1ch_512KB,1,4,2097152,128,128,157574,0.0015757400000000002,1269.2449261934073,157273,1271.6740953628403,157424,1270.4543144628517,True,False
4desc_1ch_512KB,1,4,2097152,160,160,190438,0.0019043800000000002,1050.2105672187272,190073,1052.2273021418087,190256,1051.2152047767217,True,False
4desc_1ch_512KB,1,4,2097152,192,192,223302,0.00223302,895.6480461437873,222873,897.3720459633962,223088,896.5072079179516,True,False
4desc_1ch_512KB,1,4,2097152,256,256,289030,0.0028903,691.9696917275023,288473,693.3057859834369,288752,692.6358951626308,True,False
4desc_1ch_512KB,1,4,2097152,384,384,420486,0.00420486,475.64009265469,419673,476.5615133687418,420080,476.0997905160921,True,False
4desc_1ch_512KB,1,4,2097152,512,512,551942,0.005519420000000001,362.35691431346044,550873,363.0600882599074,551408,362.70783158749964,True,False
8desc_1ch_512KB,1,8,4194304,0,0,278689,0.00278689,1435.2916692083288,278666,1435.4101325601257,278666,1435.4101325601257,True,False
8desc_1ch_512KB,1,8,4194304,32,32,279154,0.0027915400000000003,1432.9008360976377,279100,1433.1780723754925,279100,1433.1780723754925,True,False
8desc_1ch_512KB,1,8,4194304,64,64,279634,0.00279634,1430.4412195941838,279548,1430.8812797802163,279548,1430.8812797802163,True,False
8desc_1ch_512KB,1,8,4194304,96,96,280114,0.00280114,1427.9900326295722,279996,1428.5918370262432,279996,1428.5918370262432,True,False
8desc_1ch_512KB,1,8,4194304,128,128,315274,0.0031527400000000002,1268.737669455775,314973,1269.9501227089304,315124,1269.341592515962,True,False
8desc_1ch_512KB,1,8,4194304,160,160,381034,0.00381034,1049.7750856878913,380669,1050.7816502000426,380852,1050.2767479230777,True,False
8desc_1ch_512KB,1,8,4194304,192,192,446794,0.00446794,895.2671701052386,446365,896.1276085714605,446580,895.6961798557928,True,False
8desc_1ch_512KB,1,8,4194304,256,256,578314,0.00578314,691.6657732650428,577757,692.3325896527433,578036,691.9984222435972,True,False
