name,num_channels,descriptors,total_bytes,rd_delay_cyc,wr_delay_cyc,cycles,seconds,throughput_MBps,r2r_cycles,r2r_MBps,w2w_cycles,w2w_MBps,pass,timeout
1desc_1ch_8KB,1,1,8192,0,0,565,5.65e-06,1382.7433628318583,542,1441.420664206642,542,1441.420664206642,True,False
1desc_1ch_16KB,1,1,16384,0,0,1109,1.109e-05,1408.92696122633,1086,1438.7661141804788,1086,1438.7661141804788,True,False
1desc_1ch_32KB,1,1,32768,0,0,2197,2.197e-05,1422.3941738734636,2174,1437.4425022999078,2174,1437.4425022999078,True,False
1desc_1ch_64KB,1,1,65536,0,0,4373,4.373e-05,1429.2247884747312,4350,1436.7816091954023,4350,1436.7816091954023,True,False
1desc_1ch_128KB,1,1,131072,0,0,8725,8.725e-05,1432.6647564469913,8702,1436.451390484946,8702,1436.451390484946,True,False
1desc_1ch_256KB,1,1,262144,0,0,17429,0.00017429,1434.3909575994032,17406,1436.2863380443523,17406,1436.2863380443523,True,False
1desc_1ch_512KB,1,1,524288,0,0,34837,0.00034837000000000003,1435.2556190257483,34814,1436.2038260469924,34814,1436.2038260469924,True,False
1desc_1ch_1MB,1,1,1048576,0,0,69653,0.00069653,1435.6883407749845,69630,1436.1625736033318,69630,1436.1625736033318,True,False
