row,corner,freq_mhz,period_target_ps,status,delay_ps,levels,slack_ps,fmax_mhz,gate_count,ff_count,area_um2,seq_area_um2,actual_depth,char_depth,storage_bits,elapsed_s,notes,error
gaxi_fifo_W261_D512,SS,750,1333,OK,364.57,13,968.4300000000001,2743.0,88810,16720,12183.6312,6094.44,512,64,133632,13.2,D=512->char@64; storage_bits=133632,
gaxi_fifo_W261_D512,SS,1000,1000,OK,364.57,13,635.4300000000001,2743.0,88810,16720,12183.6312,6094.44,512,64,133632,13.4,D=512->char@64; storage_bits=133632,
gaxi_fifo_W64_D64,TT,500,2000,OK,228.99,11,1771.01,4367.0,21714,4112,2968.80876,1498.824,64,64,4096,4.0,,
gaxi_fifo_W64_D64,TT,750,1333,OK,228.99,11,1104.01,4367.0,21714,4112,2968.80876,1498.824,64,64,4096,4.0,,
gaxi_fifo_W64_D64,TT,1000,1000,OK,228.99,11,771.01,4367.0,21714,4112,2968.80876,1498.824,64,64,4096,4.0,,
gaxi_fifo_W64_D64,FF,500,2000,OK,207.91,11,1792.09,4809.8,21882,4112,2962.08738,1498.824,64,64,4096,4.2,,
gaxi_fifo_W64_D64,FF,750,1333,OK,207.91,11,1125.09,4809.8,21882,4112,2962.08738,1498.824,64,64,4096,4.2,,
gaxi_fifo_W64_D64,FF,1000,1000,OK,207.91,11,792.09,4809.8,21882,4112,2962.08738,1498.824,64,64,4096,4.2,,
gaxi_fifo_W64_D64,SS,500,2000,OK,347.03,12,1652.97,2881.6,21679,4112,2977.35264,1498.824,64,64,4096,4.0,,
gaxi_fifo_W64_D64,SS,750,1333,OK,347.03,12,985.97,2881.6,21679,4112,2977.35264,1498.824,64,64,4096,4.0,,
gaxi_fifo_W64_D64,SS,1000,1000,OK,347.03,12,652.97,2881.6,21679,4112,2977.35264,1498.824,64,64,4096,4.0,,
gaxi_fifo_W9_D16,TT,500,2000,OK,186.61,9,1813.3899999999999,5358.8,909,156,119.78928,56.862,16,16,144,1.2,,
gaxi_fifo_W9_D16,TT,750,1333,OK,186.61,9,1146.3899999999999,5358.8,909,156,119.78928,56.862,16,16,144,1.2,,
gaxi_fifo_W9_D16,TT,1000,1000,OK,186.61,9,813.39,5358.8,909,156,119.78928,56.862,16,16,144,1.2,,
gaxi_fifo_W9_D16,FF,500,2000,OK,134.46,9,1865.54,7437.2,916,156,118.95822,56.862,16,16,144,1.2,,
gaxi_fifo_W9_D16,FF,750,1333,OK,134.46,9,1198.54,7437.2,916,156,118.95822,56.862,16,16,144,1.3,,
gaxi_fifo_W9_D16,FF,1000,1000,OK,134.46,9,865.54,7437.2,916,156,118.95822,56.862,16,16,144,1.2,,
gaxi_fifo_W9_D16,SS,500,2000,OK,263.9,8,1736.1,3789.3,889,156,118.92906,56.862,16,16,144,1.2,,
gaxi_fifo_W9_D16,SS,750,1333,OK,263.9,8,1069.1,3789.3,889,156,118.92906,56.862,16,16,144,1.2,,
gaxi_fifo_W9_D16,SS,1000,1000,OK,263.9,8,736.1,3789.3,889,156,118.92906,56.862,16,16,144,1.2,,
gaxi_fifo_W512_D4096_BRAM_REG1,TT,500,2000,OK,271.41,15,1728.59,3684.5,180303,33303,24249.71844,12138.9435,4096,64,2097152,25.2,MEM_STYLE=FIFO_BRAM | D=4096->char@64; storage_bits=2097152,
gaxi_fifo_W512_D4096_BRAM_REG1,TT,750,1333,OK,271.41,15,1061.59,3684.5,180303,33303,24249.71844,12138.9435,4096,64,2097152,25.1,MEM_STYLE=FIFO_BRAM | D=4096->char@64; storage_bits=2097152,
gaxi_fifo_W512_D4096_BRAM_REG1,TT,1000,1000,OK,271.41,15,728.5899999999999,3684.5,180303,33303,24249.71844,12138.9435,4096,64,2097152,25.1,MEM_STYLE=FIFO_BRAM | D=4096->char@64; storage_bits=2097152,
gaxi_fifo_W512_D4096_BRAM_REG1,FF,500,2000,OK,205.3,14,1794.7,4870.9,175541,33303,23638.08744,12138.9435,4096,64,2097152,24.1,MEM_STYLE=FIFO_BRAM | D=4096->char@64; storage_bits=2097152,
gaxi_fifo_W512_D4096_BRAM_REG1,FF,750,1333,OK,205.3,14,1127.7,4870.9,175541,33303,23638.08744,12138.9435,4096,64,2097152,24.0,MEM_STYLE=FIFO_BRAM | D=4096->char@64; storage_bits=2097152,
gaxi_fifo_W512_D4096_BRAM_REG1,FF,1000,1000,OK,205.3,14,794.7,4870.9,175541,33303,23638.08744,12138.9435,4096,64,2097152,23.9,MEM_STYLE=FIFO_BRAM | D=4096->char@64; storage_bits=2097152,
gaxi_fifo_W512_D4096_BRAM_REG1,SS,500,2000,OK,391.75,13,1608.25,2552.6,178916,33303,23865.18552,12138.9435,4096,64,2097152,24.0,MEM_STYLE=FIFO_BRAM | D=4096->char@64; storage_bits=2097152,
gaxi_fifo_W512_D4096_BRAM_REG1,SS,750,1333,OK,391.75,13,941.25,2552.6,178916,33303,23865.18552,12138.9435,4096,64,2097152,24.0,MEM_STYLE=FIFO_BRAM | D=4096->char@64; storage_bits=2097152,
gaxi_fifo_W512_D4096_BRAM_REG1,SS,1000,1000,OK,391.75,13,608.25,2552.6,178916,33303,23865.18552,12138.9435,4096,64,2097152,24.1,MEM_STYLE=FIFO_BRAM | D=4096->char@64; storage_bits=2097152,
gaxi_fifo_W512_D4_AUTO_REG0,TT,500,2000,OK,187.92,10,1812.08,5321.4,11487,2056,1544.10948,749.412,4,4,2048,2.6,MEM_STYLE=FIFO_AUTO,
gaxi_fifo_W512_D4_AUTO_REG0,TT,750,1333,OK,187.92,10,1145.08,5321.4,11487,2056,1544.10948,749.412,4,4,2048,2.6,MEM_STYLE=FIFO_AUTO,
gaxi_fifo_W512_D4_AUTO_REG0,TT,1000,1000,OK,187.92,10,812.08,5321.4,11487,2056,1544.10948,749.412,4,4,2048,2.6,MEM_STYLE=FIFO_AUTO,
gaxi_fifo_W512_D4_AUTO_REG0,FF,500,2000,OK,133.87,9,1866.13,7469.9,11437,2056,1483.68996,749.412,4,4,2048,2.1,MEM_STYLE=FIFO_AUTO,
gaxi_fifo_W512_D4_AUTO_REG0,FF,750,1333,OK,133.87,9,1199.13,7469.9,11437,2056,1483.68996,749.412,4,4,2048,2.1,MEM_STYLE=FIFO_AUTO,
gaxi_fifo_W512_D4_AUTO_REG0,FF,1000,1000,OK,133.87,9,866.13,7469.9,11437,2056,1483.68996,749.412,4,4,2048,2.1,MEM_STYLE=FIFO_AUTO,
gaxi_fifo_W512_D4_AUTO_REG0,SS,500,2000,OK,281.87,8,1718.13,3547.7,11121,2056,1497.10356,749.412,4,4,2048,2.6,MEM_STYLE=FIFO_AUTO,
