config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
open_page,row_major_bl8,row_major,8,64000,0,0,0,59146,4096000,66.667,16281304,0.0253,16.77,16281323,0.0253,16.77,383.99,64000,59146 beats mismatched
open_page,row_major_bl16,row_major,16,64000,0,0,0,52757,8192000,66.667,32562782,0.0274,16.77,32562873,0.0274,16.77,383.99,64000,52757 beats mismatched
open_page,col_major_bl4,col_major,4,64000,0,0,0,43024,2048000,66.667,8148599,0.0200,16.76,8148283,0.0200,16.76,383.99,64000,43024 beats mismatched
open_page,col_major_bl8,col_major,8,64000,0,0,0,20574,4096000,66.667,16296878,0.0240,16.76,16296915,0.0240,16.76,383.99,64000,20574 beats mismatched
open_page,col_major_bl16,col_major,16,64000,0,0,0,41381,8192000,66.667,32594044,0.0274,16.76,32593956,0.0274,16.76,383.99,64000,41381 beats mismatched
open_page,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,0,5843,2048000,66.667,1530831,0.0400,89.19,2577489,0.0343,52.97,89.60,64000,5843 beats mismatched
open_page,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,0,59395,4096000,66.667,3374579,0.0685,80.92,7804169,0.0400,34.99,144.00,64000,59395 beats mismatched
open_page,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,0,53248,8192000,66.667,11166998,0.0640,48.91,19544100,0.0417,27.94,203.68,64000,53248 beats mismatched
open_page,col_major_bl8_multiid,col_major,8,64000,0,2,0,20576,4096000,66.667,16296887,0.0240,16.76,16297053,0.0240,16.76,383.97,64007,20576 beats mismatched; hist total 64007 != txn_count 64000
open_page,col_major_bl8_gap,col_major,8,64000,8,0,0,20536,4096000,66.667,16296883,0.0240,16.76,16297117,0.0240,16.76,383.99,64000,20536 beats mismatched
inorder,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,66.667,1183747,0.0400,115.34,1189700,0.0400,114.76,49.15,64000,
inorder,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,66.667,2367554,0.0799,115.34,2379229,0.0799,114.77,49.24,64000,
inorder,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,66.667,4735036,0.1066,115.34,4758500,0.1066,114.77,49.17,64000,
inorder,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,66.667,1183546,0.0400,115.36,1177210,0.0400,115.98,49.13,64000,
inorder,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,66.667,2367157,0.0799,115.36,2354404,0.0799,115.98,49.13,64000,
inorder,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,66.667,4734233,0.1066,115.36,4708751,0.1066,115.98,49.13,64000,
inorder,col_major_bl4,col_major,4,64000,0,0,0,26624,2048000,66.667,4305339,0.0300,31.71,4120846,0.0300,33.13,192.00,64000,26624 beats mismatched
inorder,col_major_bl8,col_major,8,64000,0,0,0,53248,4096000,66.667,5428844,0.0533,50.30,4624609,0.0533,59.05,96.00,64000,53248 beats mismatched
inorder,col_major_bl16,col_major,16,64000,0,0,0,40960,8192000,66.667,7803944,0.0800,69.98,6937185,0.0872,78.73,96.00,64000,40960 beats mismatched
inorder,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,66.667,1192966,0.0400,114.45,2092693,0.0400,65.24,97.07,64000,
inorder,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,66.667,2376662,0.0799,114.90,4027885,0.0600,67.79,94.46,64000,
inorder,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,66.667,4756775,0.1066,114.81,6243097,0.0960,87.48,81.59,64000,
inorder,col_major_bl8_multiid,col_major,8,64000,0,2,0,53248,4096000,66.667,5428882,0.0533,50.30,4624768,0.0533,59.04,96.00,64007,53248 beats mismatched; hist total 64007 != txn_count 64000
inorder,col_major_bl8_gap,col_major,8,64000,8,0,0,53248,4096000,66.667,5428854,0.0533,50.30,4624618,0.0533,59.05,96.00,64000,53248 beats mismatched
