path,payload_bytes,config,bandwidth_gbps,cycles_per_burst,outstanding_bursts,sram_per_ch_kb,total_sram_kb
WRITE,256,baseline,20.07843137254902,204.0,32,0.5,8.0
WRITE,256,optimized,20.07843137254902,204.0,64,0.5,8.0
WRITE,512,baseline,39.38461538461539,208.0,32,1.0,16.0
WRITE,512,optimized,39.38461538461539,208.0,64,1.0,16.0
WRITE,1024,baseline,57.6,216.0,32,2.0,32.0
WRITE,1024,optimized,57.6,216.0,64,2.0,32.0
WRITE,2048,baseline,57.6,232.0,32,4.0,64.0
WRITE,2048,optimized,57.6,232.0,64,4.0,64.0
