path,payload_bytes,config,bandwidth_gbps,cycles_per_burst,pipeline_depth,sram_per_ch_kb,total_sram_kb
READ,256,baseline,15.283582089552239,268.0,1,0.5,8.0
READ,256,optimized,20.07843137254902,204.0,2,0.5,8.0
READ,512,baseline,24.38095238095238,336.0,1,1.0,16.0
READ,512,optimized,39.38461538461539,208.0,2,1.0,16.0
READ,1024,baseline,34.71186440677966,472.0,1,2.0,32.0
READ,1024,optimized,57.6,216.0,2,2.0,32.0
READ,2048,baseline,44.043010752688176,744.0,1,4.0,64.0
READ,2048,optimized,57.6,232.0,2,4.0,64.0
