L0,L1,L2,L3,L4,L5,flops,combo,nand_eq
,,,,,wr_ptr_gray2bin_inst (gray2bin),0,2,8
,,,,,rd_ptr_gray2bin_inst (gray2bin),0,2,8
,,,,u_icmp_tok (gaxi_fifo_async),,20,36,274
,,,,,fifo_control_inst (fifo_control),4,16,77
,,,,,rd_ptr_counter_bingray (counter_bingray),3,5,39
,,,,,wr_ptr_counter_bingray (counter_bingray),3,5,39
,,,,,wr_ptr_gray_cross_inst (glitch_free_n_dff_arn),4,0,40
,,,,,rd_ptr_gray_cross_inst (glitch_free_n_dff_arn),4,0,40
,,,,,wr_ptr_gray2bin_inst (gray2bin),0,1,4
,,,,,rd_ptr_gray2bin_inst (gray2bin),0,1,4
,,,,u_istart_tok (gaxi_fifo_async),,20,36,274
,,,,,fifo_control_inst (fifo_control),4,16,77
,,,,,rd_ptr_counter_bingray (counter_bingray),3,5,39
,,,,,wr_ptr_counter_bingray (counter_bingray),3,5,39
,,,,,wr_ptr_gray_cross_inst (glitch_free_n_dff_arn),4,0,40
,,,,,rd_ptr_gray_cross_inst (glitch_free_n_dff_arn),4,0,40
,,,,,wr_ptr_gray2bin_inst (gray2bin),0,1,4
,,,,,rd_ptr_gray2bin_inst (gray2bin),0,1,4
,,,u_rd (pumice_dfi_rd_aligner),,,43,292,1255
,,,u_cmd (pumice_dfi_cmd_path),,,47,287,1142
,,,,u_fmt (dfi_cmd_formatter),,42,259,1028
,,,u_wr (pumice_dfi_wr_serializer),,,35,142,685
,u_csr (pumice_csr),,,,,672,4400,19217
