name,num_channels,descriptors,total_bytes,rd_delay_cyc,wr_delay_cyc,cycles,seconds,throughput_MBps,r2r_cycles,r2r_MBps,w2w_cycles,w2w_MBps,pass,timeout
1desc_1ch_512KB,1,1,524288,0,0,34849,0.00034849,1434.7613991793164,34814,1436.2038260469924,34815,1436.1625736033318,True,False
1desc_1ch_512KB,1,1,524288,1,1,98325,0.00098325,508.5176709890669,98291,508.69357316539663,98267,508.8178126939867,True,False
1desc_1ch_512KB,1,1,524288,2,2,131093,0.00131093,381.4086183091393,131054,381.52212065255543,131023,381.6123886645856,True,False
1desc_1ch_512KB,1,1,524288,3,3,163861,0.0016386100000000002,305.13667071481314,163817,305.2186281033104,163779,305.2894449227312,True,False
1desc_1ch_512KB,1,1,524288,4,4,196629,0.0019662900000000003,254.28599036764663,196580,254.3493743005392,196535,254.40761187574728,True,False
1desc_1ch_512KB,1,1,524288,5,5,229397,0.00229397,217.96274580748656,229343,218.0140662675556,229291,218.06350881630766,True,False
1desc_1ch_512KB,1,1,524288,6,6,262165,0.00262165,190.71958499418304,262106,190.76251592867007,262047,190.80546619499555,True,False
1desc_1ch_512KB,1,1,524288,7,7,294933,0.00294933,169.5300288540109,294869,169.5668245899026,294803,169.60478692550618,True,False
