name,num_channels,descriptors,total_bytes,rd_delay_cyc,wr_delay_cyc,cycles,seconds,throughput_MBps,r2r_cycles,r2r_MBps,w2w_cycles,w2w_MBps,pass,timeout
1desc_1ch_512KB,1,1,524288,0,0,34850,0.0003485,1434.7202295552368,34814,1436.2038260469924,34815,1436.1625736033318,True,False
1desc_2ch_512KB,2,1,1048576,0,0,69670,0.0006967000000000001,1435.3380221042055,69630,1436.1625736033318,69635,1436.0594528613483,True,False
1desc_3ch_512KB,3,1,1572864,0,0,104537,0.0010453700000000001,1434.8986483254732,104446,1436.1488233153973,104514,1435.2144210345027,True,False
1desc_4ch_512KB,4,1,2097152,0,0,139370,0.0013937,1435.0290593384516,139262,1436.141948270167,139347,1435.2659188931227,True,False
