name,num_channels,descriptors,total_bytes,rd_delay_cyc,wr_delay_cyc,cycles,seconds,throughput_MBps,r2r_cycles,r2r_MBps,w2w_cycles,w2w_MBps,pass,timeout
1desc_1ch_512KB,1,1,524288,0,0,34836,0.00034836000000000003,1435.296819382248,34814,1436.2038260469924,34814,1436.2038260469924,True,False
4desc_1ch_512KB,1,4,2097152,0,0,139338,0.00139338,1435.3586243522943,139316,1435.5852881219673,139316,1435.5852881219673,True,False
16desc_1ch_512KB,1,16,8388608,0,0,557346,0.005573460000000001,1435.3740764264926,557324,1435.4307368783686,557324,1435.4307368783686,True,False
1desc_2ch_512KB,2,1,1048576,0,0,69669,0.00069669,1435.3586243522943,69630,1436.1625736033318,69647,1435.8120234898847,True,False
4desc_2ch_512KB,2,4,4194304,0,0,278652,0.0027865200000000002,1435.4822502619754,278579,1435.8584100021897,278630,1435.5955927215302,True,False
16desc_2ch_512KB,2,16,16777216,0,0,1114236,0.01114236,1435.9615018721347,1114163,1436.0555861215996,1114214,1435.9898547316764,True,False
1desc_4ch_512KB,4,1,2097152,0,0,139403,0.00139403,1434.6893538876493,139262,1436.141948270167,139381,1434.9158063150644,True,False
4desc_4ch_512KB,4,4,8388608,0,0,557195,0.00557195,1435.7630632004953,557054,1436.1264796590635,557173,1435.8197543671354,True,False
16desc_4ch_512KB,4,16,33554432,0,0,2228363,0.022283630000000002,1436.03174168661,2228222,1436.1226125583535,2228341,1436.045919363329,True,False
