config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
litedram,incremental_bl8,incremental,8,1600,0,0,1,0,102400,75.0,62054,0.0018,123.76,62054,0.0018,123.76,94.55,1600,"concurrent 1w+1r of 2w+2r built, region 0x20000"
litedram,row_major_bl8,row_major,8,1600,0,0,1,0,102400,75.0,53777,0.0018,142.81,53777,0.0018,142.81,49.84,1600,"concurrent 1w+1r of 2w+2r built, region 0x800"
litedram,col_major_bl8,col_major,8,1600,0,0,1,0,102400,75.0,62068,0.0018,123.74,62068,0.0018,123.74,95.92,1600,"concurrent 1w+1r of 2w+2r built, region 0x4000000"
litedram,col_major_interleaved_bl8,col_major_interleaved,8,1600,0,0,1,0,102400,75.0,62512,0.0018,122.86,62512,0.0018,122.86,54.31,1600,"concurrent 1w+1r of 2w+2r built, region 0x4000000"
