Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/w_rd_dbg_actual[63:0],u_harness/w_rd_dbg_expected[63:0],u_harness/w_rd_dbg_mismatch,u_harness/w_rd_dbg_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
3540,3540,0,0000000,00,3,3,3,893459f34e71120c,0,0,3,620b6ef4a4a1a9b1,0,1,94234358536608a7,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3541,3541,0,0000000,00,3,3,3,2086fb5be7c39f59,0,0,3,620b6ef4a4a1a9b1,0,1,07bfd4a6c0fa85f2,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3542,3542,0,0000000,00,3,3,3,ae0d760e69483df1,0,0,3,620b6ef4a4a1a9b1,0,1,893459f34e71120c,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3543,3543,0,00001e0,05,2,2,3,3d91e1f0fad4b0a4,0,0,2,620b6ef4a4a1a9b1,3,1,2086fb5be7c39f59,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3544,3544,0,00001e4,05,2,2,3,b31a6ca5745f275a,0,0,2,ef5ee07f29f4273a,3,1,ae0d760e69483df1,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3545,3545,0,00001e8,05,2,2,3,6ef4a4a1a9b1aa0f,0,0,2,78a073e3be0ab4a6,3,1,3d91e1f0fad4b0a4,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3546,3546,0,00001ec,05,2,2,3,0000000000000000,0,0,2,f5f5fd68335f3a2d,3,1,b31a6ca5745f275a,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3547,3547,0,00001f0,05,2,2,3,0000000000000000,0,0,2,575d54da91f7939f,3,1,6ef4a4a1a9b1aa0f,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3548,3548,0,00001f4,05,2,2,3,6eb0000000000000,0,0,2,da08da511ca21d14,3,1,0000000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3549,3549,0,00001f8,05,2,2,3,6ef4a4a1a9b1620b,0,0,2,4df649cd8b5c8e88,3,1,0000000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
