config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
open_page,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,6659436,0.0426,46.13,6090952,0.0474,50.44,192.00,64000,
inorder,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,16583542,0.0119,9.26,16193740,0.0118,9.49,747.00,64000,
inorder,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,33166903,0.0133,9.26,32387048,0.0138,9.49,750.00,64000,
inorder,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,66334043,0.0145,9.26,64773813,0.0147,9.49,767.99,64000,
inorder,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,16648506,0.0118,9.23,16648963,0.0119,9.23,767.98,64000,
inorder,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,33297406,0.0133,9.23,33297429,0.0133,9.23,767.99,64000,
inorder,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,66594608,0.0142,9.23,66594119,0.0142,9.23,767.99,64000,
inorder,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,16648502,0.0118,9.23,16648623,0.0119,9.23,767.98,64000,
inorder,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,33297062,0.0133,9.23,33297073,0.0133,9.23,767.99,64000,
inorder,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,66594199,0.0142,9.23,66594156,0.0142,9.23,767.99,64000,
inorder,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,3535863,0.0307,43.44,5518530,0.0237,27.83,213.01,64000,
inorder,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,11675863,0.0305,26.31,16648456,0.0237,18.45,364.67,64000,
inorder,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,35978254,0.0251,17.08,37459675,0.0244,16.40,767.99,64000,
inorder,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,33297542,0.0133,9.23,33297225,0.0133,9.23,767.99,64000,
inorder,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,33297029,0.0133,9.23,33297045,0.0133,9.23,767.99,64000,
reorder,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,1712280,0.0354,89.70,1703296,0.0356,90.18,96.00,64000,
reorder,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,3424226,0.0609,89.71,3413890,0.0611,89.99,96.71,64000,
reorder,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,6849294,0.0852,89.70,6828271,0.0853,89.98,96.74,64000,
reorder,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,1711945,0.0357,89.72,1701774,0.0354,90.26,96.00,64000,
reorder,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,3423902,0.0610,89.72,3403533,0.0608,90.26,96.00,64000,
reorder,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,6847718,0.0855,89.72,6806958,0.0852,90.26,96.00,64000,
reorder,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,4994594,0.0267,30.75,4305702,0.0267,35.67,192.00,64000,
reorder,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,6659429,0.0426,46.13,6090952,0.0474,50.44,192.00,64000,
reorder,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,10124114,0.0657,60.69,9364834,0.0710,65.61,98.40,64000,
reorder,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,1730817,0.0354,88.74,2326648,0.0356,66.02,99.57,64000,
reorder,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,3457749,0.0608,88.84,4459332,0.0533,68.89,101.14,64000,
reorder,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,6907381,0.0854,88.95,7644653,0.0775,80.37,96.00,64000,
reorder,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,6659416,0.0427,46.13,6090946,0.0472,50.44,192.00,64000,
reorder,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,6659426,0.0428,46.13,5945927,0.0474,51.67,192.00,64000,
