Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_op[3:0],u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_rdy,u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_v,u_harness/u_dut/u_ctrl/u_core/u_core/u_dfi/u_rd/r_outstanding[4:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
3067,3067,0,0000000,00,3,3,3,2320a5a02324a5a0,0,0,3,a5a023a0a5a023a4,0,1,0000000000000000,4,1,1,00
3068,3068,0,0000000,00,3,3,3,0000000000000020,0,0,3,a5a023a0a5a023a4,0,1,2300000000000000,4,1,0,00
3069,3069,0,00001c8,07,2,2,3,0000000000000000,0,0,2,a5a023a0a5a023a4,3,1,2388a5a0238ca5a0,4,1,0,00
3070,3070,0,00001cc,00,2,2,3,0000000000000000,0,0,2,a5a023d8a5a023dc,3,1,2380a5a02384a5a0,4,1,0,00
3071,3071,0,00001cc,01,2,2,3,0000000000000000,0,0,2,a5a023d0a5a023d4,3,1,23b8a5a023bca5a0,4,1,0,00
3072,3072,0,00001cc,02,2,2,3,0000000000000000,0,0,2,a5a023c8a5a023cc,3,1,23b0a5a023b4a5a0,4,1,0,00
3073,3073,0,00001cc,03,2,2,3,0000000000000000,0,0,2,a5a023c0a5a023c4,3,1,23a8a5a023aca5a0,4,1,0,00
3074,3074,0,0000000,00,3,3,3,2200000000000000,0,0,3,a5a02378a5a0237c,0,1,2320a5a02324a5a0,4,1,0,00
3075,3075,0,0000000,00,3,3,3,23a0a5a023a4a5a0,0,0,3,a5a02378a5a0237c,0,1,0000000000000020,4,1,0,00
3076,3076,0,0000000,00,3,3,3,23d8a5a023dca5a0,0,0,3,a5a02378a5a0237c,0,1,0000000000000000,4,1,1,00
3077,3077,0,0000000,00,3,3,3,23d0a5a023d4a5a0,0,0,3,a5a02378a5a0237c,0,1,0000000000000000,4,1,1,00
3078,3078,0,0000000,00,3,3,3,23c8a5a023cca5a0,0,0,3,a5a02378a5a0237c,0,1,0000000000000000,4,1,1,00
3079,3079,0,0000000,00,3,3,3,23c0a5a023c4a5a0,0,0,3,a5a023f8a5a023fc,0,1,0000000000000000,4,1,1,00
3080,3080,0,0000000,00,3,3,3,2378a5a0237ca5a0,0,0,3,a5a023f8a5a023fc,0,1,0000000000000000,4,1,1,00
3081,3081,0,0000000,00,3,3,3,0000000000000078,0,0,3,a5a023f8a5a023fc,0,1,2200000000000000,4,1,0,00
3082,3082,0,00001cc,04,2,2,3,0000000000000000,0,0,2,a5a023f8a5a023fc,3,1,23a0a5a023a4a5a0,4,1,0,00
3083,3083,0,00001cc,05,2,2,3,0000000000000000,0,0,2,a5a023f0a5a023f4,3,1,23d8a5a023dca5a0,4,1,0,00
3084,3084,0,00001cc,06,2,2,3,0000000000000000,0,0,2,a5a023e8a5a023ec,3,1,23d0a5a023d4a5a0,4,1,0,00
3085,3085,0,00001cc,07,2,2,3,0000000000000000,0,0,2,a5a023e0a5a023e4,3,1,23c8a5a023cca5a0,4,1,0,00
3086,3086,0,00001d0,00,2,2,3,0000000000000000,0,0,2,a5a02218a5a0221c,3,1,23c0a5a023c4a5a0,4,1,0,00
3087,3087,0,0000000,00,3,3,3,2200000000000000,0,0,3,a5a02390a5a02394,0,1,2378a5a0237ca5a0,4,1,0,00
3088,3088,0,0000000,00,3,3,3,23f8a5a023fca5a0,0,0,3,a5a02390a5a02394,0,1,0000000000000078,4,1,0,00
3089,3089,0,0000000,00,3,3,3,23f0a5a023f4a5a0,0,0,3,a5a02390a5a02394,0,1,0000000000000000,4,1,1,00
3090,3090,0,0000000,00,3,3,3,23e8a5a023eca5a0,0,0,3,a5a02390a5a02394,0,1,0000000000000000,4,1,1,00
3091,3091,0,0000000,00,3,3,3,23e0a5a023e4a5a0,0,0,3,a5a02390a5a02394,0,1,0000000000000000,4,1,1,00
3092,3092,0,0000000,00,3,3,3,2218a5a0221ca5a0,0,0,3,a5a02210a5a02214,0,1,0000000000000000,4,1,1,00
3093,3093,0,0000000,00,3,3,3,2390a5a02394a5a0,0,0,3,a5a02210a5a02214,0,1,0000000000000000,4,1,1,00
3094,3094,0,0000000,00,3,3,3,0000000000000090,0,0,3,a5a02210a5a02214,0,1,2200000000000000,4,1,0,00
3095,3095,0,00001d0,01,2,2,3,0000000000000000,0,0,2,a5a02210a5a02214,3,1,23f8a5a023fca5a0,4,1,0,00
3096,3096,0,00001d0,02,2,2,3,0000000000000000,0,0,2,a5a02208a5a0220c,3,1,23f0a5a023f4a5a0,4,1,0,00
3097,3097,0,00001d0,03,2,2,3,0000000000000000,0,0,2,a5a02200a5a02204,3,1,23e8a5a023eca5a0,4,1,0,00
3098,3098,0,00001d0,04,2,2,3,0000000000000000,0,0,2,a5a02238a5a0223c,3,1,23e0a5a023e4a5a0,4,1,0,00
3099,3099,0,00001d0,05,2,2,3,0000000000000000,0,0,2,a5a02230a5a02234,3,1,2218a5a0221ca5a0,4,1,0,00
3100,3100,0,0000000,00,3,3,3,2200000000000000,0,0,3,a5a023a8a5a023ac,0,1,2390a5a02394a5a0,4,1,0,00
3101,3101,0,0000000,00,3,3,3,2210a5a02214a5a0,0,0,3,a5a023a8a5a023ac,0,1,0000000000000090,4,1,0,00
3102,3102,0,0000000,00,3,3,3,2208a5a0220ca5a0,0,0,3,a5a023a8a5a023ac,0,1,0000000000000000,4,1,1,00
3103,3103,0,0000000,00,3,3,3,2200a5a02204a5a0,0,0,3,a5a023a8a5a023ac,0,1,0000000000000000,4,1,1,00
3104,3104,0,0000000,00,3,3,3,2238a5a0223ca5a0,0,0,3,a5a023a8a5a023ac,0,1,0000000000000000,4,1,1,00
3105,3105,0,0000000,00,3,3,3,2230a5a02234a5a0,0,0,3,a5a02228a5a0222c,0,1,0000000000000000,4,1,1,00
3106,3106,0,0000000,00,3,3,3,23a8a5a023aca5a0,0,0,3,a5a02228a5a0222c,0,1,0000000000000000,4,1,1,00
3107,3107,0,0000000,00,3,3,3,0000000000000028,0,0,3,a5a02228a5a0222c,0,1,2200000000000000,4,1,0,00
3108,3108,0,00001d0,06,2,2,3,0000000000000000,0,0,2,a5a02228a5a0222c,3,1,2210a5a02214a5a0,4,1,0,00
3109,3109,0,00001d0,07,2,2,3,0000000000000000,0,0,2,a5a02220a5a02224,3,1,2208a5a0220ca5a0,4,1,0,00
3110,3110,0,00001d4,00,2,2,3,0000000000000000,0,0,2,a5a02258a5a0225c,3,1,2200a5a02204a5a0,4,1,0,00
3111,3111,0,00001d4,01,2,2,3,0000000000000000,0,0,2,a5a02250a5a02254,3,1,2238a5a0223ca5a0,4,1,0,00
3112,3112,0,00001d4,02,2,2,3,0000000000000000,0,0,2,a5a02248a5a0224c,3,1,2230a5a02234a5a0,4,1,0,00
3113,3113,0,0000000,00,3,3,3,2200000000000000,0,0,3,a5a023c0a5a023c4,0,1,23a8a5a023aca5a0,4,1,0,00
3114,3114,0,0000000,00,3,3,3,2228a5a0222ca5a0,0,0,3,a5a023c0a5a023c4,0,1,0000000000000028,4,1,0,00
3115,3115,0,0000000,00,3,3,3,2220a5a02224a5a0,0,0,3,a5a023c0a5a023c4,0,1,0000000000000000,4,1,1,00
3116,3116,0,0000000,00,3,3,3,2258a5a0225ca5a0,0,0,3,a5a023c0a5a023c4,0,1,0000000000000000,4,1,1,00
3117,3117,0,0000000,00,3,3,3,2250a5a02254a5a0,0,0,3,a5a023c0a5a023c4,0,1,0000000000000000,4,1,1,00
3118,3118,0,0000000,00,3,3,3,2248a5a0224ca5a0,0,0,3,a5a02240a5a02244,0,1,0000000000000000,4,1,1,00
3119,3119,0,0000000,00,3,3,3,23c0a5a023c4a5a0,0,0,3,a5a02240a5a02244,0,1,0000000000000000,4,1,1,00
3120,3120,0,0000000,00,3,3,3,0000000000000000,0,0,3,a5a02240a5a02244,0,1,2200000000000000,4,1,0,00
3121,3121,0,00001d4,03,2,2,3,0000000000000000,0,0,2,a5a02240a5a02244,3,1,2228a5a0222ca5a0,4,1,0,00
3122,3122,0,00001d4,04,2,2,3,0000000000000000,0,0,2,a5a02278a5a0227c,3,1,2220a5a02224a5a0,4,1,0,00
3123,3123,0,00001d4,05,2,2,3,0000000000000000,0,0,2,a5a02270a5a02274,3,1,2258a5a0225ca5a0,4,1,0,00
3124,3124,0,00001d4,06,2,2,3,0000000000000000,0,0,2,a5a02268a5a0226c,3,1,2250a5a02254a5a0,4,1,0,00
3125,3125,0,00001d4,07,2,2,3,0000000000000000,0,0,2,a5a02260a5a02264,3,1,2248a5a0224ca5a0,4,1,0,00
3126,3126,0,0000000,00,3,3,3,2200000000000000,0,0,3,a5a02218a5a0221c,0,1,23c0a5a023c4a5a0,4,1,0,00
3127,3127,0,0000000,00,3,3,3,2240a5a02244a5a0,0,0,3,a5a02218a5a0221c,0,1,0000000000000000,4,1,0,00
3128,3128,0,0000000,00,3,3,3,2278a5a0227ca5a0,0,0,3,a5a02218a5a0221c,0,1,0000000000000000,4,1,1,00
3129,3129,0,0000000,00,3,3,3,2270a5a02274a5a0,0,0,3,a5a02218a5a0221c,0,1,0000000000000000,4,1,1,00
3130,3130,0,0000000,00,3,3,3,2268a5a0226ca5a0,0,0,3,a5a02218a5a0221c,0,1,0000000000000000,4,1,1,00
3131,3131,0,0000000,00,3,3,3,2260a5a02264a5a0,0,0,3,a5a02298a5a0229c,0,1,0000000000000000,4,1,1,00
3132,3132,0,0000000,00,3,3,3,2218a5a0221ca5a0,0,0,3,a5a02298a5a0229c,0,1,0000000000000000,4,1,1,00
3133,3133,0,0000000,00,3,3,3,0000000000000018,0,0,3,a5a02298a5a0229c,0,1,2200000000000000,4,1,0,00
3134,3134,0,00001d8,00,2,2,3,0000000000000000,0,0,2,a5a02298a5a0229c,3,1,2240a5a02244a5a0,4,1,0,00
3135,3135,0,00001d8,01,2,2,3,0000000000000000,0,0,2,a5a02290a5a02294,3,1,2278a5a0227ca5a0,4,1,0,00
3136,3136,0,00001d8,02,2,2,3,0000000000000000,0,0,2,a5a02288a5a0228c,3,1,2270a5a02274a5a0,4,1,0,00
3137,3137,0,00001d8,03,2,2,3,0000000000000000,0,0,2,a5a02280a5a02284,3,1,2268a5a0226ca5a0,4,1,0,00
