Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_op[3:0],u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_rdy,u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_v,u_harness/u_dut/u_ctrl/u_core/u_core/u_dfi/u_rd/r_outstanding[4:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
3187,3187,0,00001e0,05,2,2,3,0000000000000000,0,0,2,a5a02130a5a02134,3,1,2118a5a0211ca5a0,4,1,0,00
3188,3188,0,00001e0,06,2,2,3,0000000000000000,0,0,2,a5a02128a5a0212c,3,1,2110a5a02114a5a0,4,1,0,00
3189,3189,0,00001e0,07,2,2,3,0000000000000000,0,0,2,a5a02120a5a02124,3,1,2108a5a0210ca5a0,4,1,0,00
3190,3190,0,00001e4,00,2,2,3,0000000000000000,0,0,2,a5a02158a5a0215c,3,1,2100a5a02104a5a0,4,1,0,00
3191,3191,0,0000000,00,3,3,3,2100000000000000,0,0,3,a5a022d0a5a022d4,0,1,22b8a5a022bca5a0,4,1,0,00
3192,3192,0,0000000,00,3,3,3,2138a5a0213ca5a0,0,0,3,a5a022d0a5a022d4,0,1,00000000000000b8,4,1,0,00
3193,3193,0,0000000,00,3,3,3,2130a5a02134a5a0,0,0,3,a5a022d0a5a022d4,0,1,0000000000000000,4,1,1,00
3194,3194,0,0000000,00,3,3,3,2128a5a0212ca5a0,0,0,3,a5a022d0a5a022d4,0,1,0000000000000000,4,1,1,00
3195,3195,0,0000000,00,3,3,3,2120a5a02124a5a0,0,0,3,a5a022d0a5a022d4,0,1,0000000000000000,4,1,1,00
3196,3196,0,0000000,00,3,3,3,2158a5a0215ca5a0,0,0,3,a5a02150a5a02154,0,1,0000000000000000,4,1,1,00
