config,scenario,family,burst_len,txn_count,gap,id_mode,ok,mismatched,bytes_moved,clk_mhz,wr_cycles,wr_util,wr_bw_mb_s,rd_cycles,rd_util,rd_bw_mb_s,rd_avg_latency_cyc,rd_hist_total,notes
open_page,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,6659380,0.0426,46.13,6090943,0.0474,50.44,192.00,64000,
inorder,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,16583565,0.0118,9.26,16193758,0.0118,9.49,747.00,64000,
inorder,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,33167062,0.0133,9.26,32387214,0.0138,9.49,750.00,64000,
inorder,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,66333901,0.0142,9.26,64773646,0.0147,9.49,767.99,64000,
inorder,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,16648499,0.0118,9.23,16648828,0.0118,9.23,767.98,64000,
inorder,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,33297030,0.0133,9.23,33297062,0.0133,9.23,767.99,64000,
inorder,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,66594608,0.0142,9.23,66594115,0.0142,9.23,767.99,64000,
inorder,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,16648533,0.0118,9.23,16648535,0.0118,9.23,767.98,64000,
inorder,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,33297065,0.0133,9.23,33297292,0.0133,9.23,767.99,64000,
inorder,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,66594122,0.0142,9.23,66594148,0.0142,9.23,767.99,64000,
inorder,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,3501001,0.0305,43.87,5428853,0.0237,28.29,216.96,64000,
inorder,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,11654250,0.0305,26.36,16648565,0.0237,18.45,364.66,64000,
inorder,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,35978183,0.0251,17.08,37459639,0.0244,16.40,767.99,64000,
inorder,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,33297134,0.0133,9.23,33297294,0.0133,9.23,767.99,64000,
inorder,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,33297054,0.0133,9.23,33297084,0.0133,9.23,767.99,64000,
reorder,incremental_bl4,incremental,4,64000,0,0,1,0,2048000,75.0,1699277,0.0355,90.39,1702751,0.0355,90.21,95.98,64000,
reorder,incremental_bl8,incremental,8,64000,0,0,1,0,4096000,75.0,3398565,0.0609,90.39,3405468,0.0609,90.21,95.97,64000,
reorder,incremental_bl16,incremental,16,64000,0,0,1,0,8192000,75.0,6796961,0.0853,90.39,6810851,0.0853,90.21,96.00,64000,
reorder,row_major_bl4,row_major,4,64000,0,0,1,0,2048000,75.0,1711945,0.0356,89.72,1701774,0.0355,90.26,96.00,64000,
reorder,row_major_bl8,row_major,8,64000,0,0,1,0,4096000,75.0,3423853,0.0609,89.72,3403491,0.0609,90.26,96.00,64000,
reorder,row_major_bl16,row_major,16,64000,0,0,1,0,8192000,75.0,6847772,0.0853,89.72,6806961,0.0853,90.26,96.00,64000,
reorder,col_major_bl4,col_major,4,64000,0,0,1,0,2048000,75.0,4994533,0.0267,30.75,4305704,0.0267,35.67,192.00,64000,
reorder,col_major_bl8,col_major,8,64000,0,0,1,0,4096000,75.0,6659417,0.0426,46.13,6090939,0.0474,50.44,192.00,64000,
reorder,col_major_bl16,col_major,16,64000,0,0,1,0,8192000,75.0,10124131,0.0656,60.69,9364808,0.0711,65.61,98.40,64000,
reorder,col_major_interleaved_bl4,col_major_interleaved,4,64000,0,0,1,0,2048000,75.0,1687264,0.0355,91.03,2330473,0.0355,65.91,99.26,64000,
reorder,col_major_interleaved_bl8,col_major_interleaved,8,64000,0,0,1,0,4096000,75.0,3329711,0.0609,92.26,4459369,0.0533,68.89,101.14,64000,
reorder,col_major_interleaved_bl16,col_major_interleaved,16,64000,0,0,1,0,8192000,75.0,6571681,0.0854,93.49,7644641,0.0775,80.37,97.47,64000,
reorder,col_major_bl8_multiid,col_major,8,64000,0,2,1,0,4096000,75.0,6659429,0.0426,46.13,6090946,0.0474,50.44,192.00,64000,
reorder,col_major_bl8_gap,col_major,8,64000,8,0,1,0,4096000,75.0,6659417,0.0426,46.13,5946243,0.0474,51.66,192.00,64000,
